"name","transcript_start","transcript_end","strand","chromosome","short_description","Curator_summary","Locus"
"AT1G45332.1",17172322,17176821,"-","1","Translation elongation factor EFG/EF2 protein",NA,"AT1G45332"
"AT1G45403.1",17177804,17178415,"+","1","membrane protein",NA,"AT1G45403"
"AT1G45474.1",17179302,17180530,"+","1","photosystem I light harvesting complex gene 5","Encodes a component of the light harvesting complex of photosystem I.","AT1G45474"
"AT1G45545.1",17180615,17182957,"-","1","Plant protein of unknown function (DUF827)",NA,"AT1G45545"
"AT1G45616.1",17183550,17186534,"-","1","receptor like protein 6",NA,"AT1G45616"
"AT1G45688.1",17191390,17193158,"+","1",NA,NA,"AT1G45688"
"AT1G45976.1",17199325,17200735,"+","1","S-ribonuclease binding protein 1",NA,"AT1G45976"
"AT1G46264.1",17224842,17226280,"+","1","heat shock transcription factor  B4","Encodes SCHIZORIZA, a member of Heat Shock Transcription Factor (Hsf) family. Functions as a nuclear factor regulating asymmetry of stem cell divisions.","AT1G46264"
"AT1G46336.1",17230411,17230653,"-","1",NA,NA,"AT1G46336"
"AT1G46408.1",17232135,17232935,"-","1","AGAMOUS-like 97",NA,"AT1G46408"
"AT1G46480.1",17236678,17238053,"-","1","WUSCHEL related homeobox 4","Encodes a WUSCHEL-related homeobox gene family member with 65 amino acids in its homeodomain. Proteins in this family contain a sequence of eight residues (TLPLFPMH) downstream of the homeodomain called the WUS box. This protein also contains an acidic domain approximately 10 residues upstream of the WUS box. Part of the TDIF-TDR-WOX4 signaling pathway that plays a crucial role in the maintenance of the vascular meristem organization during secondary growth.","AT1G46480"
"AT1G46696.1",17261860,17264183,"-","1","Protein of unknown function, DUF601",NA,"AT1G46696"
"AT1G46768.1",17265701,17266536,"-","1","related to AP2 1","encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family (RAP2.1). The protein contains one AP2 domain. There are 16 members in this subfamily including RAP2.9 and RAP2.10.","AT1G46768"
"AT1G46840.1",17270185,17271706,"+","1","F-box family protein",NA,"AT1G46840"
"AT1G46912.1",17272691,17273629,"+","1","F-box associated ubiquitination effector family protein",NA,"AT1G46912"
"AT1G46984.1",17274722,17275834,"+","1","F-box family protein",NA,"AT1G46984"
"AT1G47056.1",17276103,17277659,"-","1","VIER F-box proteine 1","Encodes an F-box protein. Based on genetic analysis appears to be functionally redundant with VFB2,3, and 4. When expression of all 4 genes is reduced plants show defects in growth and reduced expression of auxin response genes.","AT1G47056"
"AT1G47128.1",17282825,17285670,"-","1","Granulin repeat cysteine protease family protein","cysteine proteinase precursor-like protein/ dehydration stress-responsive gene (RD21).  Has been shown to have peptide ligase activity and protease activity in vitro.  RD21 is involved in immunity to the necrotrophic fungal pathogen Botrytis cinerea.","AT1G47128"
"AT1G47200.1",17298031,17298817,"-","1","WPP domain protein 2","WPP family members contains an NE targeting domain. This domain, called the WPP domain  after a highly conserved Trp-Pro-Pro motif, is necessary  for NE targeting of WPP1. RNAi suppression of WPP2 resulted in reduced mitotic activity.","AT1G47200"
"AT1G47210.2",17300951,17302866,"+","1","cyclin-dependent protein kinase 3;2",NA,"AT1G47210"
"AT1G47220.1",17303676,17305197,"+","1","Cyclin A3;3",NA,"AT1G47220"
"AT1G47230.2",17306577,17308848,"+","1","CYCLIN A3;4",NA,"AT1G47230"
"AT1G47240.1",17308803,17311397,"-","1","NRAMP metal ion transporter 2","Member of the NRAMP2 gene family of metal ion transporters.","AT1G47240"
"AT1G47250.1",17319177,17321074,"+","1","20S proteasome alpha subunit F2","Encodes 20S proteasome subunit PAF2 (PAF2).","AT1G47250"
"AT1G47260.1",17321173,17323484,"-","1","gamma carbonic anhydrase 2","Encodes mitochondrial gamma carbonic anhydrase. Component of the NADH dehydrogenase complex.","AT1G47260"
"AT1G47265.1",17324318,17324911,"+","1",NA,NA,"AT1G47265"
"AT1G47270.1",17326556,17328728,"+","1","tubby like protein 6","Member of TLP family","AT1G47270"
"AT1G47271.1",17328813,17330343,"+","1","Cystathionine beta-synthase (CBS) family protein",NA,"AT1G47271"
"AT1G47278.2",17330837,17331899,"+","1",NA,NA,"AT1G47278"
"AT1G47280.1",17332056,17334406,"-","1",NA,NA,"AT1G47280"
"AT1G47290.2",17335849,17339273,"+","1","3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 1","Encodes an enzyme with 3&#946;-hydroxysteroid dehydrogenase/C4-decarboxylase activity <i>in vitro</i>. The activity of the enzyme was determined using microsomal extracts of yeast overexpressing the <i>Arabidopsis</i> gene. Cytosolic fractions failed to be associated to the activity, leading to the speculation that the enzyme is membrane-bound.","AT1G47290"
"AT1G47300.1",17339561,17340972,"-","1","F-box family protein",NA,"AT1G47300"
"AT1G47310.1",17342914,17344802,"+","1",NA,NA,"AT1G47310"
"AT1G47317.1",17347094,17347515,"+","1",NA,"Encodes a defensin-like (DEFL) family protein.","AT1G47317"
"AT1G47330.1",17351050,17353875,"+","1","CBS domain-containing protein with a domain of unknown function (DUF21)",NA,"AT1G47330"
"AT1G47340.1",17353847,17356533,"-","1","F-box and associated interaction domains-containing protein",NA,"AT1G47340"
"AT1G47350.1",17358447,17360722,"-","1","F-box associated ubiquitination effector family protein",NA,"AT1G47350"
"AT1G47370.1",17365898,17368703,"-","1","Toll-Interleukin-Resistance (TIR) domain family protein",NA,"AT1G47370"
"AT1G47380.1",17372537,17376075,"-","1","Protein phosphatase 2C family protein",NA,"AT1G47380"
"AT1G47389.1",17378652,17379374,"+","1",NA,NA,"AT1G47389"
"AT1G47390.1",17379544,17380656,"+","1","F-box and associated interaction domains-containing protein",NA,"AT1G47390"
"AT1G47395.1",17383034,17383408,"+","1",NA,NA,"AT1G47395"
"AT1G47400.1",17385717,17386186,"+","1",NA,NA,"AT1G47400"
"AT1G47410.1",17394765,17395673,"+","1",NA,NA,"AT1G47410"
"AT1G47420.1",17395518,17397255,"-","1","succinate dehydrogenase 5","predicted to encode subunit 5 of mitochondrial complex II and to participate in the respiratory chain","AT1G47420"
"AT1G47450.1",17402684,17403193,"-","1","Protein of unknown function (DUF784)",NA,"AT1G47450"
"AT1G47470.1",17414611,17415132,"-","1","Protein of unknown function (DUF784)",NA,"AT1G47470"
"AT1G47480.1",17417579,17419432,"+","1","alpha/beta-Hydrolases superfamily protein",NA,"AT1G47480"
"AT1G47485.1",17422448,17423066,"+","1",NA,"Encodes CEP1, a 15-amino-acid peptide, which is mainly expressed in the lateral root primordia.  When overexpressed or externally applied, CEP1 arrests root growth.  CEP1 is a candidate for a novel peptide plant hormone.","AT1G47485"
"AT1G47490.1",17424669,17427475,"+","1","RNA-binding protein 47C",NA,"AT1G47490"
"AT1G47495.1",17428945,17429813,"-","1",NA,NA,"AT1G47495"
"AT1G47497.1",17431009,17432133,"-","1","Polynucleotidyl transferase, ribonuclease H-like superfamily protein",NA,"AT1G47497"
"AT1G47500.1",17432518,17435064,"+","1","RNA-binding protein 47C'",NA,"AT1G47500"
"AT1G47510.1",17435601,17438396,"-","1","inositol polyphosphate 5-phosphatase 11","Encodes a phosphatidylinositol  polyphosphate 5-phosphatase. It can dephosphorylate PI(4,5)P2, PI(3,5)P2, and PI(3,4,5)P3, but, it is not active against PI(5)P or the water soluble inositol(1,4,5)P3 or inositol(1,3,4,5)P4. The transcript levels for this gene rise in response to auxin, ABA, and JA.","AT1G47510"
"AT1G47530.1",17451680,17454421,"+","1","MATE efflux family protein",NA,"AT1G47530"
"AT1G47540.2",17455533,17456156,"-","1","Scorpion toxin-like knottin superfamily protein",NA,"AT1G47540"
"AT1G47550.2",17457122,17464386,"+","1","exocyst complex component sec3A","Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.","AT1G47550"
"AT1G47560.1",17466751,17473294,"+","1","exocyst complex component sec3B","Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.","AT1G47560"
"AT1G47570.1",17478655,17483502,"+","1","RING/U-box superfamily protein",NA,"AT1G47570"
"AT1G47578.1",17484365,17485470,"+","1","Biotin/lipoate A/B protein ligase family",NA,"AT1G47578"
"AT1G47580.1",17485650,17486463,"+","1","Pentatricopeptide repeat (PPR) superfamily protein",NA,"AT1G47580"
"AT1G47600.1",17491732,17494759,"+","1","beta glucosidase 34","Encodes a myrosinase. Over-expression led to a glucosinolate profile change.","AT1G47600"
"AT1G47603.1",17496839,17498110,"-","1","purine permease 19","Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.","AT1G47603"
"AT1G47610.1",17504783,17505964,"+","1","Transducin/WD40 repeat-like superfamily protein",NA,"AT1G47610"
"AT1G47620.1",17507942,17509702,"-","1","cytochrome P450, family 96, subfamily A, polypeptide 8","member of CYP96A","AT1G47620"
"AT1G47640.1",17518189,17520128,"-","1",NA,NA,"AT1G47640"
"AT1G47655.1",17525365,17526306,"+","1","Dof-type zinc finger DNA-binding family protein",NA,"AT1G47655"
"AT1G47660.1",17533941,17535551,"-","1",NA,NA,"AT1G47660"
"AT1G47670.1",17536667,17539538,"-","1","Transmembrane amino acid transporter family protein",NA,"AT1G47670"
"AT1G47680.1",17540775,17541089,"+","1",NA,NA,"AT1G47680"
"AT1G47690.1",17544079,17544231,"+","1",NA,NA,"AT1G47690"
"AT1G47700.1",17547325,17547477,"+","1",NA,NA,"AT1G47700"
"AT1G47710.1",17558209,17560269,"+","1","Serine protease inhibitor (SERPIN) family protein",NA,"AT1G47710"
"AT1G47720.1",17561355,17562883,"-","1","Primosome PriB/single-strand DNA-binding","Encodes an organellar single-strand DNA binding protein, located in mitochondria, controls the stoichiometry of alternative mitochondrial DNA forms generated by homologous recombination.","AT1G47720"
"AT1G47730.1",17563931,17565106,"-","1","F-box and associated interaction domains-containing protein",NA,"AT1G47730"
"AT1G47740.1",17566511,17569297,"+","1","PPPDE putative thiol peptidase family protein",NA,"AT1G47740"
"AT1G47750.1",17569256,17570159,"-","1","peroxin 11A","member of the peroxin11 (PEX11) gene family, integral to peroxisome membrane, controls peroxisome proliferation.","AT1G47750"
"AT1G47760.1",17572451,17573159,"+","1","AGAMOUS-like 102",NA,"AT1G47760"
"AT1G47765.1",17574906,17576092,"-","1","F-box and associated interaction domains-containing protein",NA,"AT1G47765"
"AT1G47770.1",17590266,17591261,"+","1","Beta-galactosidase related protein",NA,"AT1G47770"
"AT1G47780.1",17594683,17595343,"+","1","alpha/beta-Hydrolases superfamily protein",NA,"AT1G47780"
"AT1G47786.1",17597898,17599099,"+","1","alpha/beta-Hydrolases superfamily protein",NA,"AT1G47786"
"AT1G47790.1",17600004,17601173,"-","1","F-box and associated interaction domains-containing protein",NA,"AT1G47790"
"AT1G47800.1",17601513,17602676,"+","1","F-box and associated interaction domains-containing protein",NA,"AT1G47800"
"AT1G47810.1",17603504,17604559,"+","1","F-box and associated interaction domains-containing protein",NA,"AT1G47810"
"AT1G47813.1",17606558,17606818,"+","1",NA,NA,"AT1G47813"
"AT1G47820.1",17612038,17612548,"+","1",NA,NA,"AT1G47820"
"AT1G47830.1",17613098,17614926,"-","1","SNARE-like superfamily protein",NA,"AT1G47830"
"AT1G47840.1",17616107,17618894,"-","1","hexokinase 3","Encodes a putative hexokinase.","AT1G47840"
"AT1G47870.1",17634788,17637770,"+","1","winged-helix DNA-binding transcription factor family protein","Member of the E2F transcription factors, (cell cycle genes), key components of the cyclin D/retinoblastoma/E2F pathway.  AtE2Fc is regulated by a balance between gene expression and ubiquitin-proteasome proteolysis.  AtE2Fc might play a role in cell division and during the transition from skotomorphogenesis to photomorphogenesis. E2Fc has been shown to interact with DPB in its nonphosphorylated form; when E2Fc is phosphorylated, the formation of the E2Fc/DPB heterodimer is lost.","AT1G47870"
"AT1G47885.1",17642397,17642805,"-","1","Ribonuclease inhibitor",NA,"AT1G47885"
"AT1G47890.1",17643976,17647035,"+","1","receptor like protein 7",NA,"AT1G47890"
"AT1G47900.1",17647144,17651425,"-","1","Plant protein of unknown function (DUF869)",NA,"AT1G47900"
"AT1G47915.1",17660752,17660973,"+","1","F-box family protein",NA,"AT1G47915"
"AT1G47920.1",17661095,17662394,"+","1","RNI-like superfamily protein",NA,"AT1G47920"
"AT1G47940.1",17668285,17669713,"+","1","Pentatricopeptide repeat (PPR) superfamily protein",NA,"AT1G47940"
"AT1G47946.1",17673332,17673526,"-","1",NA,NA,"AT1G47946"
"AT1G47960.1",17681157,17683629,"-","1","cell wall / vacuolar inhibitor of fructosidase 1","Plant cell wall (CWI) and vacuolar invertases (VI)  play important roles in carbohydrate metabolism, stress responses  and sugar signaling. This protein may inhibit their activity.","AT1G47960"
"AT1G47970.1",17687269,17688816,"+","1",NA,NA,"AT1G47970"
"AT1G47980.1",17691834,17693867,"-","1",NA,NA,"AT1G47980"
"AT1G47990.1",17698655,17700834,"+","1","gibberellin 2-oxidase 4","Encodes a gibberellin 2-oxidase that acts on C19 gibberellins. AtGA2OX4 expression is responsive to cytokinin and KNOX activities.","AT1G47990"
"AT1G48000.1",17704179,17706460,"-","1","myb domain protein 112","Encodes a putative transcription factor (MYB112).","AT1G48000"
"AT1G48010.1",17711491,17712660,"-","1","Plant invertase/pectin methylesterase inhibitor superfamily protein",NA,"AT1G48010"
"AT1G48020.1",17716051,17716808,"-","1","pectin methylesterase inhibitor 1","Pectin methylesterase inhibitor AtPMEI1. Inactivates AtPPME1 in vitro. Localized to pollen tube cell tip.","AT1G48020"
"AT1G48030.1",17717139,17719141,"-","1","mitochondrial lipoamide dehydrogenase 1","Encodes a mitochondrial lipoamide dehydrogenase whose expression is induced by light.","AT1G48030"
"AT1G48040.1",17719740,17721841,"-","1","Protein phosphatase 2C family protein",NA,"AT1G48040"
"AT1G48050.1",17723452,17727043,"+","1","Ku80 family protein","Ku80 and ku70 form the heterodimer complex Ku, required for proper maintenance of  the telomeric C strand. Ku regulates the extension of the telomeric G strand. Interacts with WEX, and this interaction stimulates the WEX exonuclease activity. Binds double stranded DNA breaks as a heterodimer with Ku70, involved in non-homologous end joining repair. Mutants are defective in T-DNA integration. Over expression confers increased resistance to DNA damage agents and increased susceptibility to T-DNA transformation.","AT1G48050"
"AT1G48060.1",17728295,17729448,"+","1","F-box and associated interaction domains-containing protein",NA,"AT1G48060"
"AT1G48070.1",17730491,17731122,"-","1","Thioredoxin superfamily protein",NA,"AT1G48070"
"AT1G48090.1",17732010,17758444,"-","1","calcium-dependent lipid-binding family protein",NA,"AT1G48090"
"AT1G48095.1",17760142,17761998,"+","1",NA,NA,"AT1G48095"
"AT1G48100.1",17766874,17769951,"+","1","Pectin lyase-like superfamily protein",NA,"AT1G48100"
"AT1G48110.1",17769938,17773493,"-","1","evolutionarily conserved C-terminal region 7",NA,"AT1G48110"
"AT1G48120.1",17773688,17779955,"-","1","hydrolases;protein serine/threonine phosphatases",NA,"AT1G48120"
"AT1G48130.1",17780502,17781727,"+","1","1-cysteine peroxiredoxin 1","encodes a protein similar to the 1-cysteine (1-Cys) peroxiredoxin family of antioxidants. Expression is limited to seed (aleurone and embryo) and is not induced by ABA or drought.","AT1G48130"
"AT1G48140.1",17782042,17784211,"+","1","dolichol-phosphate mannosyltransferase-related","Encodes a subunit of the dolichol phosphate mannase synthase (DPMS) complex that may serve as membrane anchors for the catalytic core, DPMS1, or provide catalytic assistance. It is localized in the ER and mediates isoprenyl-linked glycan biogenesis.","AT1G48140"
"AT1G48145.1",17784507,17784913,"-","1",NA,NA,"AT1G48145"
"AT1G48150.1",17785397,17786368,"+","1","MADS-box transcription factor family protein",NA,"AT1G48150"
"AT1G48160.1",17786545,17789024,"-","1","signal recognition particle 19 kDa protein, putative / SRP19, putative",NA,"AT1G48160"
"AT1G48170.1",17788786,17790093,"+","1",NA,NA,"AT1G48170"
"AT1G48175.1",17790507,17792331,"+","1","Cytidine/deoxycytidylate deaminase family protein",NA,"AT1G48175"
"AT1G48180.1",17792449,17793717,"-","1",NA,NA,"AT1G48180"
"AT1G48190.1",17794560,17795163,"-","1","Galactose oxidase/kelch repeat superfamily protein",NA,"AT1G48190"
"AT1G48195.1",17796335,17796784,"+","1","Zinc finger C-x8-C-x5-C-x3-H type family protein",NA,"AT1G48195"
"AT1G48200.1",17796764,17798337,"-","1",NA,NA,"AT1G48200"
"AT1G48210.1",17798431,17801987,"+","1","Protein kinase superfamily protein",NA,"AT1G48210"
"AT1G48220.1",17802863,17804955,"+","1","Protein kinase superfamily protein",NA,"AT1G48220"
"AT1G48230.1",17805761,17808885,"+","1","nodulin MtN21 /EamA-like transporter family protein","Nucleotide/sugar transporter family protein","AT1G48230"
"AT1G48240.1",17809007,17811895,"-","1","novel plant snare 12","member of NPSN Gene Family","AT1G48240"
"AT1G48260.1",17813976,17817283,"-","1","CBL-interacting protein kinase  17","Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.21), which has also been reported as a member of the CBL-interacting protein kinases (CIPK17).","AT1G48260"
"AT1G48270.1",17827953,17830420,"-","1","G-protein-coupled receptor 1","encodes a protein similar to G-coupled receptor with 7 transmembrane regions. Overexpression studies suggest this gene is involved in dormancy and flowering. Reduction of expression results in decreased sensitivity to cytokinin.","AT1G48270"
"AT1G48280.1",17835088,17837717,"+","1","hydroxyproline-rich glycoprotein family protein",NA,"AT1G48280"
"AT1G48300.1",17847356,17848564,"+","1",NA,NA,"AT1G48300"
"AT1G48310.1",17848421,17853807,"-","1","chromatin remodeling factor18",NA,"AT1G48310"
"AT1G48320.1",17854813,17855715,"-","1","Thioesterase superfamily protein","Encodes one of the two functional DHNA-CoA (1,4-dihydroxy-2-naphthoyl-CoA) thioesterases found in Arabidopsis.","AT1G48320"
"AT1G48325.1",17857271,17857722,"+","1","Expressed protein",NA,"AT1G48325"
"AT1G48330.1",17863837,17864386,"+","1",NA,NA,"AT1G48330"
"AT1G48350.1",17867204,17868342,"+","1","Ribosomal L18p/L5e family protein",NA,"AT1G48350"
"AT1G48360.2",17868650,17873031,"+","1","zinc ion binding;nucleic acid binding;hydrolases, acting on acid anhydrides, in phosphorus-containing anhydrides",NA,"AT1G48360"
"AT1G48370.1",17874512,17877397,"+","1","YELLOW STRIPE like 8","Arabidopsis thaliana metal-nicotianamine transporter YSL4","AT1G48370"
"AT1G48380.2",17877413,17879270,"-","1","root hair initiation protein root hairless 1 (RHL1)","Encodes a novel nuclear protein required for root hair initiation and ploidy-dependent cell growth.  Its sequence has similarity to the C-terminal domain of mammalian DNA topo IIalpha.  Shows in vitro DNA binding activity and is likely to be part of the topo VI complex by binding to subunit A.","AT1G48380"
"AT1G48390.1",17879448,17880903,"-","1","RNI-like superfamily protein",NA,"AT1G48390"
"AT1G48400.1",17882136,17883855,"-","1","F-box/RNI-like/FBD-like domains-containing protein",NA,"AT1G48400"
"AT1G48405.1",17884645,17885614,"-","1","Kinase interacting (KIP1-like) family protein",NA,"AT1G48405"
"AT1G48410.2",17886098,17892586,"-","1","Stabilizer of iron transporter SufD / Polynucleotidyl transferase","Encodes an RNA Slicer that selectively recruits microRNAs and siRNAs.  There is currently no evidence that AGO1 Slicer is in a high molecular weight RNA-induced silencing complex (RISC).  Mutants are defective in post-transcriptional gene silencing and have pleiotropic developmental and morphological defects. Through its action on the  regulation of ARF17 expression, the protein regulates genes involved at the cross talk between auxin and light signaling during adventitious root development. AGO1 seems to be targeted for degradation by silencing suppressor F-box-containing proteins from Turnip yellow virus and Cucurbit aphid-borne yellow virus.","AT1G48410"
"AT1G48420.1",17896597,17898804,"-","1","D-cysteine desulfhydrase","Encodes an enzyme that decomposes D-cysteine into pyruvate, H2S, and NH3.  Only D-cysteine but not L-cysteine was converted by D-CDes to pyruvate, H2S, and NH3. There is conflicting evidence on its 1-aminocyclopropane-1-carboxylate deaminase activity. Involved in regulating ethylene levels.","AT1G48420"
"AT1G48430.1",17902636,17906806,"-","1","Dihydroxyacetone kinase",NA,"AT1G48430"
"AT1G48440.1",17906987,17908534,"+","1","B-cell receptor-associated 31-like",NA,"AT1G48440"
"AT1G48450.1",17908503,17910450,"-","1","Protein of unknown function (DUF760)",NA,"AT1G48450"
"AT1G48460.1",17911346,17913300,"+","1",NA,NA,"AT1G48460"
"AT1G48470.1",17913711,17916098,"+","1","glutamine synthetase 1;5","Encodes cytosolic glutamine synthase isozyme.  Expression of mRNA is not detectable in roots.","AT1G48470"
"AT1G48480.1",17918391,17920985,"+","1","receptor-like kinase 1","Arabidopsis thaliana receptor-like protein kinase (RKL1) gene","AT1G48480"
"AT1G48490.1",17921979,17928930,"-","1","Protein kinase superfamily protein",NA,"AT1G48490"
"AT1G48500.1",17931476,17934662,"+","1","jasmonate-zim-domain protein 4",NA,"AT1G48500"
"AT1G48510.1",17934889,17936915,"+","1","Surfeit locus 1 cytochrome c oxidase biogenesis protein",NA,"AT1G48510"
"AT1G48520.1",17940100,17942822,"+","1","GLU-ADT subunit B","Encodes Glu-tRNA(Gln) amidotransferase subunit B (from Genbank record AF239836).","AT1G48520"
"AT1G48530.1",17943242,17944315,"-","1",NA,NA,"AT1G48530"
"AT1G48540.1",17945376,17950515,"+","1","Outer arm dynein light chain 1 protein",NA,"AT1G48540"
"AT1G48550.1",17950579,17952693,"-","1","Vacuolar protein sorting-associated protein 26",NA,"AT1G48550"
"AT1G48560.2",17952859,17955273,"+","1",NA,NA,"AT1G48560"
"AT1G48570.1",17955278,17957719,"-","1","zinc finger (Ran-binding) family protein",NA,"AT1G48570"
"AT1G48580.1",17958263,17960610,"-","1",NA,NA,"AT1G48580"
"AT1G48590.2",17962839,17964429,"+","1","Calcium-dependent lipid-binding (CaLB domain) family protein",NA,"AT1G48590"
"AT1G48598.1",17965864,17969354,"+","1","conserved peptide upstream open reading frame 31","Upstream open reading frames (uORFs) are small open reading frames found in the 5' UTR of a mature mRNA, and can potentially mediate translational regulation of the largest, or major, ORF (mORF). CPuORF31 represents a conserved upstream opening reading frame relative to major ORF AT1G48600.1","AT1G48598"
"AT1G48600.2",17965871,17969354,"+","1","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","Encodes a phosphoethanolamine N-methyltransferase that catalyses the last two methylation steps of the three sequential methylations of phosphoethanolamine (PEA) that are required for the synthesis of phosphocholine (PCho) in plants.","AT1G48600"
"AT1G48605.1",17969395,17970282,"-","1","Flavoprotein","Encodes a protein similar to yeast HAL3, which regulates the cell cycle and tolerance to salt stress through inhibition of the PPZ1 type-1 protein phosphatase. AtHAL3b mRNA levels are induced by salt stress.  HAL3B presumably encodes for phosphopantothenoylcysteine decarboxylase being involved in Coenzyme A biosynthesis as indicated by functional complementation of a double mutant hal3 aaBb.","AT1G48605"
"AT1G48610.1",17970678,17973303,"-","1","AT hook motif-containing protein",NA,"AT1G48610"
"AT1G48620.1",17973697,17976389,"-","1","high mobility group A5","This gene is predicted to encodes a histone H1/H5 family member. A plant line expressing an RNAi construct targeted against HON5 shows a reduced level of agrobacterium-mediated root transformation.","AT1G48620"
"AT1G48630.1",17981773,17983327,"-","1","receptor for activated C kinase 1B","Encodes a protein with similarity to mammalian RACKs. RACKs function to shuttle activated protein kinase C to different subcellular sites and may also function as a scaffold through physical interactions with other proteins. RACK1B has no phenotype on its own and probably acts redundantly with RACK1A and RACK1C.","AT1G48630"
"AT1G48635.2",17983733,17986116,"+","1","peroxin 3",NA,"AT1G48635"
"AT1G48640.1",17986358,17988991,"+","1","Transmembrane amino acid transporter family protein",NA,"AT1G48640"
"AT1G48650.2",17989398,17995326,"-","1","DEA(D/H)-box RNA helicase family protein",NA,"AT1G48650"
"AT1G48660.1",17995948,17997972,"-","1","Auxin-responsive GH3 family protein",NA,"AT1G48660"
"AT1G48670.1",17998946,18001200,"-","1","auxin-responsive GH3 family protein",NA,"AT1G48670"
"AT1G48690.1",18009057,18009989,"-","1","Auxin-responsive GH3 family protein",NA,"AT1G48690"
"AT1G48700.1",18011035,18012871,"-","1","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein",NA,"AT1G48700"
"AT1G48720.1",18018148,18018441,"+","1",NA,NA,"AT1G48720"
"AT1G48730.1",18020337,18022277,"-","1",NA,NA,"AT1G48730"
"AT1G48740.2",18023387,18026065,"-","1","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein",NA,"AT1G48740"
"AT1G48745.1",18030704,18031439,"+","1",NA,NA,"AT1G48745"
"AT1G48750.1",18035967,18036510,"+","1","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein",NA,"AT1G48750"
"AT1G48760.1",18035986,18039405,"-","1","delta-adaptin","Encodes the putative delta subunit of the AP(adaptor protein)-3  complex and plays a role in vacuolar function.","AT1G48760"
"AT1G48770.1",18040285,18040916,"+","1","Protein of unknown function (DUF1639)",NA,"AT1G48770"
"AT1G48780.1",18041989,18042744,"+","1",NA,NA,"AT1G48780"
"AT1G48790.1",18043672,18047659,"-","1","associated molecule with the SH3 domain of STAM 1",NA,"AT1G48790"
"AT1G48800.1",18049844,18052975,"+","1","Terpenoid cyclases/Protein prenyltransferases superfamily protein",NA,"AT1G48800"
"AT1G48820.1",18055229,18059367,"+","1","Terpenoid cyclases/Protein prenyltransferases superfamily protein",NA,"AT1G48820"
"AT1G48830.1",18059642,18061302,"-","1","Ribosomal protein S7e family protein",NA,"AT1G48830"
"AT1G48840.1",18061521,18065031,"+","1","Plant protein of unknown function (DUF639)",NA,"AT1G48840"
"AT1G48850.1",18064905,18068090,"-","1","chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase, putative",NA,"AT1G48850"
"AT1G48860.1",18068707,18071466,"-","1","RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta",NA,"AT1G48860"
"AT1G48870.1",18072325,18074457,"-","1","Transducin/WD40 repeat-like superfamily protein",NA,"AT1G48870"
"AT1G48880.1",18081033,18082925,"+","1","TRICHOME BIREFRINGENCE-LIKE 7","Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).","AT1G48880"
"AT1G48900.1",18084782,18087879,"-","1","Signal recognition particle, SRP54 subunit protein",NA,"AT1G48900"
"AT1G48910.1",18091681,18093774,"+","1","Flavin-containing monooxygenase family protein","A paternally expressed imprinted gene.","AT1G48910"
"AT1G48912.1",18094900,18095046,"+","1",NA,NA,"AT1G48912"
"AT1G48920.1",18098095,18101623,"+","1","nucleolin like 1","Encodes ATNUC-L1 (NUCLEOLIN LIKE 1), the predominant form of the two nucleolin proteins found in Arabidopsis. This protein is involved in rRNA processing, ribosome biosynthesis, and vascular pattern formation. PARL1 localizes to the nucleolus and parl1 mutants accumulate elevated levels of the unspliced 35S pre-rRNA. parl1 mutants also have defects in cotyledon, leaf, sepal, and petal vein patterning and have reduced stature, reduced fertility, increased bushiness, and reduced root length. The sugar-induced expression of ribosome proteins is also reduced in parl1 mutants.","AT1G48920"
"AT1G48930.1",18101643,18104661,"-","1","glycosyl hydrolase 9C1",NA,"AT1G48930"
"AT1G48940.1",18105808,18106422,"-","1","early nodulin-like protein 6",NA,"AT1G48940"
"AT1G48950.1",18106897,18110237,"+","1","C3HC zinc finger-like",NA,"AT1G48950"
"AT1G48953.1",18111090,18111380,"-","1",NA,NA,"AT1G48953"
"AT1G48960.1",18112458,18113733,"+","1","Adenine nucleotide alpha hydrolases-like superfamily protein",NA,"AT1G48960"
"AT1G48970.1",18113714,18117833,"-","1","NagB/RpiA/CoA transferase-like superfamily protein",NA,"AT1G48970"
