"chromosome"	"transcript_start"	"transcript_end"	"strand"	"name"	"short_description"
1	40862786	40864400	-	LOC_Os01g70560	"expressed protein"
1	40864908	40868356	-	LOC_Os01g70570	"acyltransferase, putative, expressed"
1	40868708	40871884	-	LOC_Os01g70580	"thiamin pyrophosphokinase 1, putative, expressed"
1	40875375	40876289	-	LOC_Os01g70590	"DUF567 domain containing protein, putative, expressed"
1	40877137	40881181	+	LOC_Os01g70600	"DUF567 domain containing protein, putative, expressed"
1	40881782	40882099	+	LOC_Os01g70610	"conserved hypothetical protein"
1	40883179	40883403	+	LOC_Os01g70620	"hypothetical protein"
1	40897653	40898496	+	LOC_Os01g70640	"expressed protein"
1	40899421	40899846	+	LOC_Os01g70650	"subtilisin N-terminal Region family protein, expressed"
1	40902493	40907438	-	LOC_Os01g70660	"potassium transporter, putative, expressed"
1	40915335	40920785	+	LOC_Os01g70670	"BTBM1 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
1	40921899	40922318	+	LOC_Os01g70680	"DEF1 - Defensin and Defensin-like DEFL family, expressed"
1	40923718	40924053	-	LOC_Os01g70690	"RALFL1 - Rapid ALkalinization Factor RALF family protein precursor, putative, expressed"
1	40926204	40929357	+	LOC_Os01g70700	"expressed protein"
1	40930472	40932733	-	LOC_Os01g70710	"heavy metal-associated domain containing protein, expressed"
1	40937817	40941018	-	LOC_Os01g70720	"expressed protein"
1	40942204	40943109	-	LOC_Os01g70730	"flowering promoting factor-like 1, putative, expressed"
1	40947071	40949593	-	LOC_Os01g70740	"expressed protein"
1	40962401	40964248	-	LOC_Os01g70770	"glutathione S-transferase, putative, expressed"
1	40966659	40971092	-	LOC_Os01g70780	"WD40-like domain containing protein, putative, expressed"
1	40973255	40974782	-	LOC_Os01g70790	"SRC2 protein, putative, expressed"
1	40978433	40983586	+	LOC_Os01g70800	"mitochondrial carrier protein, putative, expressed"
1	40984436	40992970	+	LOC_Os01g70810	"homeobox domain containing protein, expressed"
1	40994303	40997132	+	LOC_Os01g70820	"lumenal PsbP, putative, expressed"
1	40999828	41000884	-	LOC_Os01g70830	"esterase PIR7A, putative, expressed"
1	41002434	41004063	-	LOC_Os01g70840	"esterase, putative, expressed"
1	41004288	41006137	-	LOC_Os01g70850	"esterase, putative, expressed"
1	41007321	41009242	-	LOC_Os01g70860	"esterase, putative, expressed"
1	41011306	41015063	-	LOC_Os01g70870	"ZOS1-23 - C2H2 zinc finger protein, expressed"
1	41021478	41021912	-	LOC_Os01g70880	"histone-like transcription factor and archaeal histone, putative, expressed"
1	41028601	41030025	-	LOC_Os01g70890	"histone-like transcription factor and archaeal histone, putative, expressed"
1	41052348	41056649	+	LOC_Os01g70920	"cullin-1, putative, expressed"
1	41057016	41058872	-	LOC_Os01g70930	"leucoanthocyanidin dioxygenase, putative, expressed"
1	41061091	41067527	+	LOC_Os01g70940	"potassium transporter, putative, expressed"
1	41066583	41070764	-	LOC_Os01g70950	"spermatogenesis-associated protein 20 precursor, putative, expressed"
1	41074429	41079312	+	LOC_Os01g70960	"cytochrome c1-1, heme protein, mitochondrial precursor, putative, expressed"
1	41079469	41082009	-	LOC_Os01g70970	"protein kinase, putative, expressed"
1	41085901	41088168	-	LOC_Os01g70980	"expressed protein"
1	41090303	41090680	+	LOC_Os01g70990	"OsGrx_C6 - glutaredoxin subgroup III, expressed"
1	41095905	41100367	+	LOC_Os01g71000	"protein kinase APK1B, chloroplast precursor, putative, expressed"
1	41100496	41105056	-	LOC_Os01g71010	"lipase precursor, putative, expressed"
1	41106628	41106936	+	LOC_Os01g71020	"expressed protein"
1	41112004	41114858	-	LOC_Os01g71040	"expressed protein"
1	41116985	41122312	-	LOC_Os01g71050	"MSP domain containing protein, putative, expressed"
1	41126094	41127677	-	LOC_Os01g71060	"xylanase inhibitor, putative, expressed"
1	41133500	41134983	-	LOC_Os01g71070	"xylanase inhibitor, putative, expressed"
1	41139174	41140671	-	LOC_Os01g71080	"xylanase inhibitor, putative, expressed"
1	41141674	41143464	-	LOC_Os01g71090	"xylanase inhibitor, putative, expressed"
1	41145301	41146730	-	LOC_Os01g71094	"basic 7S globulin 2 precursor, putative, expressed"
1	41149955	41154678	-	LOC_Os01g71100	"expressed protein"
1	41155813	41160726	-	LOC_Os01g71106	""
1	41159307	41163822	-	LOC_Os01g71114	"disease resistance protein RGA4, putative, expressed"
1	41166235	41167904	+	LOC_Os01g71130	"xylanase inhibitor 725OS, putative, expressed"
1	41169527	41171082	+	LOC_Os01g71140	"xylanase inhibitor, putative, expressed"
1	41172394	41172954	-	LOC_Os01g71150	"expressed protein"
1	41176391	41177823	+	LOC_Os01g71160	"xylanase inhibitor, putative, expressed"
1	41179433	41180367	+	LOC_Os01g71170	"classical arabinogalactan protein 26 precursor, putative, expressed"
1	41183800	41186550	+	LOC_Os01g71180	"pentatricopeptide repeat protein PPR1106-17, putative, expressed"
1	41186974	41188839	+	LOC_Os01g71190	"photosystem II reaction center PSB28 protein, chloroplast precursor, putative, expressed"
1	41193350	41198976	+	LOC_Os01g71200	"RNA recognition motif containing protein, putative, expressed"
1	41201472	41202302	-	LOC_Os01g71210	"expressed protein"
1	41203847	41208712	-	LOC_Os01g71220	"zinc finger protein, putative, expressed"
1	41214311	41217069	+	LOC_Os01g71230	"nascent polypeptide-associated complex subunit alpha-like protein 3, putative, expressed"
1	41220037	41227811	+	LOC_Os01g71240	"calcium-transporting ATPase, plasma membrane-type, putative, expressed"
1	41226701	41229806	-	LOC_Os01g71250	"expressed protein"
1	41230854	41235660	-	LOC_Os01g71256	"expressed protein"
1	41236330	41238799	-	LOC_Os01g71262	"expressed protein"
1	41242467	41243837	+	LOC_Os01g71270	"eukaryotic peptide chain release factor subunit 1-1, putative, expressed"
1	41245570	41249927	+	LOC_Os01g71280	"glycerol-3-phosphate dehydrogenase, putative, expressed"
1	41251226	41272319	+	LOC_Os01g71300	"S-formylglutathione hydrolase, putative, expressed"
1	41300203	41303044	+	LOC_Os01g71310	"cytokinin dehydrogenase precursor, putative, expressed"
1	41305317	41314527	-	LOC_Os01g71320	"hexokinase, putative, expressed"
1	41343327	41344284	+	LOC_Os01g71330	"expressed protein"
1	41346574	41348411	+	LOC_Os01g71340	"glycosyl hydrolases family 17, putative, expressed"
1	41349731	41351148	+	LOC_Os01g71350	"glycosyl hydrolases family 17, putative, expressed"
1	41351155	41352438	-	LOC_Os01g71360	"expressed protein"
1	41365160	41366570	+	LOC_Os01g71380	"glycosyl hydrolases family 17, putative, expressed"
1	41370715	41371949	+	LOC_Os01g71400	"glycosyl hydrolases family 17, putative, expressed"
1	41375172	41376297	+	LOC_Os01g71410	"glycosyl hydrolases family 17, putative, expressed"
1	41384286	41386417	-	LOC_Os01g71420	"Ser/Thr protein phosphatase family protein, putative, expressed"
1	41388935	41390074	-	LOC_Os01g71430	"OsFBDUF9 - F-box and DUF domain containing protein, expressed"
1	41390945	41392099	-	LOC_Os01g71440	"OsFBDUF10 - F-box and DUF domain containing protein, expressed"
1	41393464	41394297	-	LOC_Os01g71450	"OsFBX33 - F-box domain containing protein, expressed"
1	41394725	41396203	-	LOC_Os01g71460	"OsFBDUF11 - F-box and DUF domain containing protein, expressed"
1	41397748	41401593	-	LOC_Os01g71474	"glycosyl hydrolases family 17, putative, expressed"
1	41403470	41404404	+	LOC_Os01g71490	"expressed protein"
1	41439295	41447524	+	LOC_Os01g71540	"expressed protein"
1	41485349	41486014	-	LOC_Os01g71558	"phototropic-responsive NPH3 family protein, putative, expressed"
1	41457270	41459896	+	LOC_Os01g71570	"expressed protein"
1	41470275	41478510	+	LOC_Os01g71590	"expressed protein"
1	41480531	41482391	-	LOC_Os01g71599	"expressed protein"
1	41486856	41494446	-	LOC_Os01g71620	"expressed protein"
1	41495707	41498656	+	LOC_Os01g71624	"expressed protein"
1	41510185	41519730	+	LOC_Os01g71630	"expressed protein"
1	41524511	41525453	+	LOC_Os01g71640	"expressed protein"
1	41525723	41526415	+	LOC_Os01g71650	"glycosyl hydrolases family 17, putative, expressed"
1	41533273	41535619	-	LOC_Os01g71670	"glycosyl hydrolases family 17, putative, expressed"
1	41536977	41538320	-	LOC_Os01g71680	"glycosyl hydrolases family 17, putative, expressed"
1	41539690	41545870	-	LOC_Os01g71690	""
1	41549008	41551494	-	LOC_Os01g71700	"amino acid permease family protein, putative, expressed"
1	41552037	41554504	-	LOC_Os01g71710	"amino acid permease family protein, putative, expressed"
1	41554884	41559339	-	LOC_Os01g71720	"amino acid permease family protein, putative, expressed"
1	41563978	41566629	-	LOC_Os01g71740	"amino acid permease family protein, putative, expressed"
1	41567173	41567577	-	LOC_Os01g71750	"expressed protein"
1	41570750	41573307	-	LOC_Os01g71760	"amino acid permease family protein, putative, expressed"
1	41573907	41578834	-	LOC_Os01g71770	"RNA recognition motif containing protein, putative, expressed"
1	41582224	41583944	+	LOC_Os01g71780	"WD domain, G-beta repeat domain containing protein, expressed"
1	41584367	41585318	+	LOC_Os01g71790	"NAM, putative, expressed"
1	41585905	41587063	+	LOC_Os01g71800	"lecithin cholesterol acyltransferase, putative, expressed"
1	41592216	41594985	-	LOC_Os01g71810	"glycosyl hydrolases family 17, putative, expressed"
1	41597270	41598692	-	LOC_Os01g71820	"glycosyl hydrolases family 17, putative, expressed"
1	41603297	41604680	+	LOC_Os01g71830	"glycosyl hydrolases family 17, putative, expressed"
1	41629299	41631914	+	LOC_Os01g71860	"glycosyl hydrolases family 17, putative, expressed"
1	41677883	41681805	-	LOC_Os01g71930	"glycosyl hydrolases family 17 protein, expressed"
1	41688391	41690156	-	LOC_Os01g71950	"expressed protein"
1	41691174	41698706	+	LOC_Os01g71960	"endonuclease, putative, expressed"
1	41711881	41713811	+	LOC_Os01g71970	"GRAS family transcription factor containing protein, expressed"
1	41716009	41719018	+	LOC_Os01g71980	"rho-GTPase-activating protein-like, putative, expressed"
1	41718016	41721574	-	LOC_Os01g71990	"pyrroline-5-carboxylate reductase, putative, expressed"
1	41722424	41726252	-	LOC_Os01g72000	"armadillo repeat-containing protein, putative, expressed"
1	41728651	41729616	-	LOC_Os01g72009	"expressed protein"
1	41741160	41744666	-	LOC_Os01g72020	"BTBA3 - Bric-a-Brac,Tramtrack, Broad Complex BTB domain with Ankyrin repeat region, expressed"
1	41818279	41819489	+	LOC_Os01g72080	"calmodulin-like protein 1, putative, expressed"
1	41822269	41825087	-	LOC_Os01g72090	"phycoerythrobilin ferredoxin oxidoreductase, putative, expressed"
1	41825882	41827156	-	LOC_Os01g72100	"OsCML10 - Calmodulin-related calcium sensor protein, expressed"
1	41839949	41841440	+	LOC_Os01g72120	"glutathione S-transferase, putative, expressed"
1	41841760	41842549	+	LOC_Os01g72130	"glutathione S-transferase, putative, expressed"
1	41844009	41845691	+	LOC_Os01g72140	"glutathione S-transferase, putative, expressed"
1	41846413	41847370	+	LOC_Os01g72150	"glutathione S-transferase, putative, expressed"
1	41847705	41849080	+	LOC_Os01g72160	"glutathione S-transferase, putative, expressed"
1	41853850	41854883	+	LOC_Os01g72170	"glutathione S-transferase, putative, expressed"
1	41861562	41863695	+	LOC_Os01g72190	"expressed protein"
1	41864619	41866546	-	LOC_Os01g72200	"expressed protein"
1	41867501	41869645	-	LOC_Os01g72205	"proline synthetase co-transcribed bacterial homolog protein, putative, expressed"
1	41869930	41874556	+	LOC_Os01g72210	"early-responsive to dehydration protein-related, putative, expressed"
1	41873949	41880601	-	LOC_Os01g72220	"WD domain, G-beta repeat domain containing protein, expressed"
1	41882488	41886410	+	LOC_Os01g72230	"stromal membrane-associated protein, putative, expressed"
1	41887067	41890850	+	LOC_Os01g72240	"uridine 5-monophosphate synthase, putative, expressed"
1	41892678	41896242	+	LOC_Os01g72250	"uridine 5-monophosphate synthase, putative, expressed"
1	41896504	41898331	-	LOC_Os01g72260	"cytochrome P450, putative, expressed"
1	41900002	41901651	-	LOC_Os01g72270	"cytochrome P450, putative, expressed"
1	41904210	41907453	-	LOC_Os01g72280	"tetratricopeptide repeat containing protein, putative, expressed"
1	41914684	41915936	+	LOC_Os01g72290	"expressed protein"
1	41917699	41919129	+	LOC_Os01g72300	"Cupin domain containing protein, expressed"
1	41925595	41931602	-	LOC_Os01g72320	"FYVE zinc finger domain containing protein, expressed"
1	41948952	41952388	+	LOC_Os01g72330	"OsRR4  type-A response regulator, expressed"
1	41954633	41962787	+	LOC_Os01g72340	"beta-galactosidase, putative, expressed"
1	41964126	41970144	+	LOC_Os01g72350	"amidohydrolase, putative, expressed"
1	41971985	41973023	+	LOC_Os01g72360	"expressed protein"
1	41971444	41978408	-	LOC_Os01g72370	"helix-loop-helix DNA-binding domain containing protein, expressed"
1	41982116	41985044	+	LOC_Os01g72380	"expressed protein"
1	41986078	41988856	-	LOC_Os01g72390	"NBS type disease resistance protein, putative, expressed"
1	41997451	42000861	+	LOC_Os01g72410	"Leucine Rich Repeat family protein, expressed"
1	41999585	42002803	-	LOC_Os01g72420	"C2 domain containing protein, putative, expressed"
1	42003931	42009785	-	LOC_Os01g72430	"NADPH quinone oxidoreductase, putative, expressed"
1	42011186	42011507	-	LOC_Os01g72440	"hypothetical protein"
1	42012737	42013581	+	LOC_Os01g72450	"DNA binding protein, putative, expressed"
1	42018059	42019514	+	LOC_Os01g72460	"NADPH quinone oxidoreductase, putative, expressed"
1	42020859	42021464	-	LOC_Os01g72470	"expressed protein"
1	42025672	42027986	+	LOC_Os01g72480	"zinc finger, C3HC4 type domain containing protein, expressed"
1	42037167	42039622	-	LOC_Os01g72490	"LRP1, putative, expressed"
1	42058936	42060584	-	LOC_Os01g72510	"eukaryotic aspartyl protease domain containing protein, expressed"
1	42063181	42067788	-	LOC_Os01g72520	"phosphoesterase family protein, putative, expressed"
1	42073984	42074982	-	LOC_Os01g72530	"OsCML31 - Calmodulin-related calcium sensor protein, expressed"
1	42078682	42079137	-	LOC_Os01g72540	"OsCML23 - Calmodulin-related calcium sensor protein, expressed"
1	42080116	42080556	+	LOC_Os01g72550	"OsCML19 - Calmodulin-related calcium sensor protein, expressed"
1	42081066	42085042	+	LOC_Os01g72560	"expressed protein"
1	42086475	42095890	+	LOC_Os01g72570	"expressed protein"
1	42110476	42110682	-	LOC_Os01g72590	"expressed protein"
1	42122517	42123788	-	LOC_Os01g72600	"spotted leaf 11, putative, expressed"
1	42128326	42130347	-	LOC_Os01g72610	"glycosyltransferase, putative, expressed"
1	42138649	42143038	+	LOC_Os01g72630	"expressed protein"
1	42149710	42156852	+	LOC_Os01g72650	"RNA recognition motif containing protein, putative, expressed"
1	42160803	42161279	+	LOC_Os01g72660	"expressed protein"
1	42162484	42166462	-	LOC_Os01g72670	"expressed protein"
1	42169412	42172204	+	LOC_Os01g72680	"disease resistance protein RPS2, putative, expressed"
1	42177832	42183727	+	LOC_Os01g72690	"NAD kinase, putative, expressed"
1	42184240	42187695	+	LOC_Os01g72700	"expressed protein"
1	42190284	42194070	+	LOC_Os01g72710	"expressed protein"
1	42199107	42200332	+	LOC_Os01g72720	"expressed protein"
1	42202447	42203895	+	LOC_Os01g72730	"cytochrome P450, putative, expressed"
1	42206304	42208513	+	LOC_Os01g72740	"cytochrome P450, putative, expressed"
1	42211882	42213692	+	LOC_Os01g72760	"cytochrome P450, putative, expressed"
1	42216976	42228070	+	LOC_Os01g72780	"expressed protein"
1	42229506	42232641	+	LOC_Os01g72790	"cyclin-dependent kinase, putative, expressed"
1	42234584	42237458	-	LOC_Os01g72800	"signal recognition particle receptor, putative, expressed"
1	42238811	42240567	+	LOC_Os01g72810	"secreted glycoprotein, putative, expressed"
1	42240786	42245248	+	LOC_Os01g72820	"CRS1/YhbY domain containing protein, putative, expressed"
1	42247696	42255403	+	LOC_Os01g72834	"RNA recognition motif containing protein, putative, expressed"
1	42255655	42257190	-	LOC_Os01g72850	"GDSL-motif lipase/hydrolase family protein, putative, expressed"
1	42260295	42264942	+	LOC_Os01g72860	"MAC/Perforin domain containing protein, putative, expressed"
1	42265021	42268525	-	LOC_Os01g72870	"BAS1, putative, expressed"
1	42268880	42274913	+	LOC_Os01g72880	"DNA mismatch repair protein Mlh1, putative, expressed"
1	42281272	42281973	-	LOC_Os01g72900	"abscisic stress-ripening, putative, expressed"
1	42282832	42283632	+	LOC_Os01g72910	"abscisic stress-ripening, putative, expressed"
1	42288473	42289606	-	LOC_Os01g72920	"expressed protein"
1	42297255	42300253	+	LOC_Os01g72930	"pentatricopeptide, putative, expressed"
1	42303454	42311177	-	LOC_Os01g72940	"phosphatidylserine decarboxylase, putative, expressed"
1	42312149	42313577	+	LOC_Os01g72950	"expressed protein"
1	42315264	42317679	+	LOC_Os01g72960	"expressed protein"
1	42325823	42329066	+	LOC_Os01g72970	"DUF630/DUF632 domains containing protein, putative, expressed"
1	42329246	42335754	-	LOC_Os01g72980	"tRNA uridine 5-carboxymethylaminomethyl modification enzyme gidA, putative, expressed"
1	42336217	42349399	-	LOC_Os01g72990	"expressed protein"
1	42350927	42355398	-	LOC_Os01g73000	"copine, putative, expressed"
1	42358083	42360654	-	LOC_Os01g73005	"expressed protein"
1	42369770	42370365	+	LOC_Os01g73024	"expressed protein"
1	42377194	42381600	+	LOC_Os01g73040	"CBS domain-containing protein, putative, expressed"
1	42392184	42395736	+	LOC_Os01g73070	"expressed protein"
1	42393402	42401215	-	LOC_Os01g73080	"expressed protein"
1	42401748	42402302	+	LOC_Os01g73090	"expressed protein"
1	42411939	42413227	+	LOC_Os01g73110	"expressed protein"
1	42413338	42416590	-	LOC_Os01g73120	"expressed protein"
1	42417816	42418739	+	LOC_Os01g73130	"vacuolar ATP synthase, putative, expressed"
1	42419164	42421379	-	LOC_Os01g73140	"ubiquitin-fold modifier 1 precursor, putative, expressed"
1	42421671	42424864	-	LOC_Os01g73150	"expressed protein"
1	42425424	42427258	-	LOC_Os01g73160	"40S ribosomal protein S10, putative, expressed"
1	42429502	42432618	+	LOC_Os01g73170	"peroxidase precursor, putative, expressed"
1	42433901	42434170	-	LOC_Os01g73180	"expressed protein"
1	42436589	42437820	+	LOC_Os01g73190	"peroxidase precursor, putative, expressed"
1	42441660	42442958	+	LOC_Os01g73200	"peroxidase precursor, putative, expressed"
1	42443617	42443943	-	LOC_Os01g73210	"expressed protein"
1	42446001	42447654	+	LOC_Os01g73220	"peroxidase precursor, putative, expressed"
1	42447904	42450923	-	LOC_Os01g73230	"syntaxin 6, putative, expressed"
1	42451116	42454309	+	LOC_Os01g73234	"thioredoxin, putative, expressed"
1	42456839	42457477	+	LOC_Os01g73240	"expressed protein"
1	42460555	42462334	+	LOC_Os01g73250	"abscisic stress-ripening, putative, expressed"
1	42467067	42468282	+	LOC_Os01g73260	"hypothetical protein"
1	42470327	42471850	+	LOC_Os01g73270	"expressed protein"
1	42472609	42474070	+	LOC_Os01g73280	"expressed protein"
1	42474669	42475371	-	LOC_Os01g73290	"expressed protein"
1	42479663	42483372	-	LOC_Os01g73300	"VAMP-like protein YKT62, putative, expressed"
1	42484073	42487451	-	LOC_Os01g73310	"actin, putative, expressed"
1	42526911	42527381	-	LOC_Os01g73370	"S-locus lectin protein kinase family protein, putative, expressed"
1	42532251	42533953	-	LOC_Os01g73390	"expressed protein"
1	42537688	42537949	+	LOC_Os01g73400	"hypothetical protein"
1	42541330	42547122	+	LOC_Os01g73410	"FYVE zinc finger domain containing protein, expressed"
1	42547599	42548991	+	LOC_Os01g73420	"mitochondrial carrier protein, putative, expressed"
1	42549843	42556862	-	LOC_Os01g73430	"RNA polymerase IV largest subunit, putative, expressed"
1	42559048	42559953	+	LOC_Os01g73440	"expressed protein"
1	42562817	42566993	+	LOC_Os01g73450	"amino acid kinase, putative, expressed"
1	42567843	42573082	+	LOC_Os01g73460	"ATXR, putative, expressed"
1	42574827	42577818	-	LOC_Os01g73470	"growth inhibition and differentiation-related protein 88, putative, expressed"
1	42579342	42583645	+	LOC_Os01g73480	"acetyltransferase, GNAT family protein, expressed"
1	42585170	42586070	-	LOC_Os01g73490	"expressed protein"
1	42587236	42590338	-	LOC_Os01g73500	"expressed protein"
1	42590881	42598002	-	LOC_Os01g73514	"5-oxoprolinase, putative, expressed"
1	42600571	42612433	+	LOC_Os01g73530	"ABC transporter, ATP-binding protein, putative, expressed"
1	42613763	42614641	-	LOC_Os01g73540	"YGGT family protein, putative, expressed"
1	42614788	42618386	+	LOC_Os01g73550	"mitochondrial-processing peptidase subunit alpha, mitochondrial precursor, putative, expressed"
1	42618474	42621727	-	LOC_Os01g73560	"leucine rich repeat domain containing protein, putative, expressed"
1	42621831	42624751	+	LOC_Os01g73570	""
1	42626321	42630440	+	LOC_Os01g73580	"glycosyl hydrolases, putative, expressed"
1	42635728	42637905	-	LOC_Os01g73590	"transporter family protein, putative, expressed"
1	42638856	42644944	-	LOC_Os01g73604	"LSM domain containing protein, expressed"
1	42646047	42654120	+	LOC_Os01g73620	"expressed protein"
1	42654494	42655776	+	LOC_Os01g73630	"rhoGAP domain containing protein, expressed"
1	42656421	42662572	+	LOC_Os01g73640	"expressed protein"
1	42663532	42666213	-	LOC_Os01g73644	"expressed protein"
1	42668313	42671592	+	LOC_Os01g73650	"expressed protein"
1	42673021	42678116	+	LOC_Os01g73656	"expressed protein"
1	42679241	42680546	+	LOC_Os01g73662	"expressed protein"
1	42684868	42689426	+	LOC_Os01g73670	"expressed protein"
1	42689893	42696058	+	LOC_Os01g73680	"aspartyl aminopeptidase, putative, expressed"
1	42695091	42699059	-	LOC_Os01g73690	"pentatricopeptide, putative, expressed"
1	42699971	42701323	-	LOC_Os01g73700	"RCLEA2 - Root cap and Late embryogenesis related family protein precursor, putative, expressed"
1	42704282	42705375	-	LOC_Os01g73710	"RCLEA3 - Root cap and Late embryogenesis related family protein precursor, putative, expressed"
1	42706524	42707981	+	LOC_Os01g73720	"RCLEA4 - Root cap and Late embryogenesis related family protein precursor, expressed"
1	42713303	42713811	-	LOC_Os01g73740	"lipase, putative, expressed"
1	42715724	42721562	+	LOC_Os01g73750	"Leucine Rich Repeat family protein, expressed"
1	42723514	42726767	+	LOC_Os01g73760	"IPP transferase, putative, expressed"
1	42727426	42728363	+	LOC_Os01g73770	"dehydration-responsive element-binding protein, putative, expressed"
1	42735992	42737940	-	LOC_Os01g73780	"chloroplast outer envelope 24 kD protein, putative, expressed"
1	42738667	42742174	-	LOC_Os01g73790	"NAD dependent epimerase/dehydratase family protein, putative, expressed"
1	42752981	42757186	-	LOC_Os01g73800	"expressed protein"
1	42757831	42758607	-	LOC_Os01g73810	"ATCHX15, putative, expressed"
1	42760339	42763522	+	LOC_Os01g73820	"expressed protein"
1	42771227	42773042	+	LOC_Os01g73830	"expressed protein"
1	42774834	42778625	-	LOC_Os01g73840	"expressed protein"
1	42796444	42799490	-	LOC_Os01g73860	"expressed protein"
1	42811928	42815290	+	LOC_Os01g73880	"eukaryotic translation initiation factor, putative, expressed"
1	42819031	42821127	+	LOC_Os01g73890	"transcription initiation factor IIA gamma chain, putative, expressed"
1	42826104	42828861	-	LOC_Os01g73910	"peptidase, putative, expressed"
1	42830103	42830920	-	LOC_Os01g73920	"hypothetical protein"
1	42838969	42839550	+	LOC_Os01g73940	"expressed protein"
1	42837592	42842621	-	LOC_Os01g73950	"PPR repeat containing protein, expressed"
1	42845757	42848151	+	LOC_Os01g73960	"drought induced 19 protein, putative, expressed"
1	42848228	42853010	-	LOC_Os01g73970	"lysine ketoglutarate reductase trans-splicing related 1, putative, expressed"
1	42855657	42857466	+	LOC_Os01g73980	"xylem cysteine proteinase 2 precursor, putative, expressed"
1	42858764	42860586	+	LOC_Os01g73990	"cytochrome b5-like Heme/Steroid binding domain containing protein, expressed"
1	42860708	42866652	-	LOC_Os01g74000	"glycerol-3-phosphate dehydrogenase, putative, expressed"
1	42870524	42872686	-	LOC_Os01g74010	"cyclase/dehydrase family protein, expressed"
1	42874207	42875515	-	LOC_Os01g74020	"MYB family transcription factor, putative, expressed"
1	42876539	42882964	-	LOC_Os01g74030	"pumilio-family RNA binding protein, putative, expressed"
1	42884891	42886416	+	LOC_Os01g74040	"zinc finger, RING-type, putative, expressed"
1	42904385	42905101	+	LOC_Os01g74100	"expressed protein"
1	42905566	42907474	-	LOC_Os01g74110	"metal cation transporter, putative, expressed"
1	42918202	42918522	+	LOC_Os01g74120	"expressed protein"
1	42946753	42948750	+	LOC_Os01g74140	"WRKY17, expressed"
1	42949414	42952714	+	LOC_Os01g74146	"WD repeat-containing protein, putative, expressed"
1	42954163	42956646	+	LOC_Os01g74152	"haloacid dehalogenase-like hydrolase family protein, putative, expressed"
1	42960106	42964990	+	LOC_Os01g74160	"carboxyl-terminal peptidase, putative, expressed"
1	42967050	42970144	-	LOC_Os01g74170	"expressed protein"
1	42970340	42976918	+	LOC_Os01g74180	"adaptin, putative, expressed"
1	42977145	42979816	-	LOC_Os01g74190	"radical SAM enzyme, putative, expressed"
1	42981192	42985019	-	LOC_Os01g74200	"protein kinase domain containing protein, expressed"
1	43016926	43019127	+	LOC_Os01g74250	"plant-specific domain TIGR01615 family protein, expressed"
1	43039984	43043991	+	LOC_Os01g74280	"TGD2, putative, expressed"
1	43046955	43047961	+	LOC_Os01g74300	"metallothionein, putative, expressed"
1	43049162	43058849	-	LOC_Os01g74310	"expressed protein"
1	43063740	43065484	+	LOC_Os01g74320	"ubiquitin ligase, putative, expressed"
1	43066680	43070166	-	LOC_Os01g74330	"pectinacetylesterase domain containing protein, expressed"
1	43071516	43072535	+	LOC_Os01g74340	"RNA recognition motif containing protein, putative, expressed"
1	43072748	43076541	-	LOC_Os01g74350	"soluble inorganic pyrophosphatase, putative, expressed"
1	43077349	43077654	+	LOC_Os01g74360	"26S proteasome non-ATPase regulatory subunit 6, putative, expressed"
1	43078796	43080400	-	LOC_Os01g74370	"domain of unknown function DUF966 domain containing protein, expressed"
1	43096392	43097974	+	LOC_Os01g74410	"MYB family transcription factor, putative, expressed"
1	43104441	43104863	+	LOC_Os01g74430	"expressed protein"
1	43112781	43113407	+	LOC_Os01g74440	"OsMADS79 - MADS-box family gene with M-alpha type-box, expressed"
1	43115742	43117231	-	LOC_Os01g74450	"aquaporin protein, putative, expressed"
1	43120081	43125721	-	LOC_Os01g74460	"vacuolar fusion protein MON1 homolog A, putative, expressed"
1	43125963	43134502	-	LOC_Os01g74470	"ABC transporter, ATP-binding protein, putative, expressed"
1	43136224	43137723	-	LOC_Os01g74480	"cupin domain containing protein, expressed"
1	43141841	43142670	+	LOC_Os01g74490	"heavy metal-associated domain containing protein, expressed"
1	43143717	43146789	+	LOC_Os01g74500	"expressed protein"
1	43154091	43158225	+	LOC_Os01g74510	"KIP1, putative, expressed"
1	43159497	43162849	-	LOC_Os01g74520	"methyltransferase domain containing protein, putative, expressed"
1	43163463	43166987	-	LOC_Os01g74530	""
1	43172094	43173178	-	LOC_Os01g74540	"GATA zinc finger domain containing protein, expressed"
1	43185620	43186510	+	LOC_Os01g74570	"tetraspanin family protein, putative, expressed"
1	43189156	43193534	+	LOC_Os01g74580	"dnaJ homolog subfamily C member, putative, expressed"
1	43194020	43194896	-	LOC_Os01g74590	"MYB family transcription factor, putative, expressed"
1	43196120	43198668	+	LOC_Os01g74600	"vegetative storage protein, putative, expressed"
1	43202474	43215253	-	LOC_Os01g74610	"zinc finger, C3HC4 type domain containing protein, expressed"
1	43217065	43217883	+	LOC_Os01g74620	"expressed protein"
1	43220222	43221254	-	LOC_Os01g74630	"expressed protein"
1	43225959	43230590	+	LOC_Os01g74640	"mitochondrial carrier protein, putative, expressed"
1	43231935	43238506	-	LOC_Os01g74650	"cysteine synthase, mitochondrial precursor, putative, expressed"
1	43244186	43245432	+	LOC_Os01g74660	"dihydroflavonol-4-reductase, putative, expressed"
1	43247065	43250710	-	LOC_Os01g74670	"expressed protein"
